Nom.Kods,Nom.Nosaukums,Beigu daudzums,"Beigu vid. cena, EUR",Nom.PCAPVNE.Cena
0002310,Stieples spriegotājs cink. L,"0,000","0,00","1,14"
0002317,Cilindrs 40/40 mm mat. niķelis,"4,000","4,155","6,33"
0002327,Stieples spriegotājs zaļš,"453,000","0,4408","0,85"
0002341,Betona maisītājs 130L,"20,000","158,7415","239,43"
0002359,Skrūve din931 8.8 M12*65,"4,800","1,3042","2,21"
0002362,Durvju aizvērējs balts,"4,000","19,21","30,22"
0002365,Lāpsta-liekšķere m kātā 125 cm Delux,"60,000","4,5603","10,39"
0002372,Lāpsta-asa m.kāts 125cm Lux,"86,000","4,8181","10,39"
0002379,Durvju aizvērējs brūns 65 kg,"9,000","19,2089","30,22"
0002394,Kabelis H03VVH2-F 2*0.5,"99,000","0,111","0,17"
0002400,Kabelis H03VVH2-F 2*0.75,"281,000","0,1608","0,24"
0002402,Lāpsta-liekšķere stiklš. kātā 125 cm,"34,000","4,6344","6,83"
0002419,Lāpsta-asa stiklšķiedras kāts 125 cm,"45,000","4,7369","9,70"
0002426,Lāpsta-asa plast. stiklš.kātā 125 cm,"18,000","4,8894","9,70"
0002433,Dakšas koka kātā 125 cm,"10,000","2,812","5,42"
0002443,Kniedes AL/ST 3.2*8 RR 29,"336,000","0,0506","0,09"
0002448,Kabelis H03VV-F 2*0.75,"346,000","0,185","0,28"
0002454,Slēdzene misiņš,"61,000","2,461","3,87"
0002455,Kabelis H03VV-F BVV-LL 2*1.0,"796,000","0,2149","0,36"
0002462,Kabelis H03VV-F BVV-LL 2*1.5,"1733,800","0,3165","0,51"
0002467,Kniedes AL/ST 3.2*8 RR 32,"1310,300","0,0521","0,09"
0002483,"Krāsa Termal karstumizturīga 0,3 L","16,000","5,1006","8,05"
0002486,Kabelis H03VV-F 3*0.75,"241,000","0,2349","0,38"
0002493,Kabelis H03VV-F BVV-LL 3*1.0,"421,000","0,3047","0,47"
0002509,Kabelis H03VV-F BVV-LL 3*1.5,"2099,500","0,4352","0,70"
0002509,Švammītes trauku mazgāšanai Merkant 5 gab,"5,000","0,356","0,54"
0002516,Švamme trauku 3 gab.,"8,000","0,3038","0,44"
0002518,Ķerra 2 ratu 85 L,"51,000","34,4151","51,79"
0002525,"Žoga stabs 1,7m apaļš 38mm 3 Clip","295,000","3,8379","6,36"
0002526,HOT grila aizdedzināšanas šķidrums 1 L,"20,000","0,835","1,27"
0002530,Kabelis H05VV-F BVV-LL 2*2.5,"288,000","0,5126","0,81"
00025377,Magnētisks turētājs 58 mm,"6,000","1,42","2,15"
0002546,Cilindrs 30/40 mm mat.niķ.,"6,000","3,0017","4,54"
0002547,Kabelis H05W-F BVV-LL 3*2.5,"535,000","0,7006","1,07"
0002549,"Žoga stabs 2,3m d38 5 Clip","61,000","4,9338","7,46"
0002560,Cilindrs ar aizgriezni 30/30 mm mat./mis.,"9,000","2,9733","4,50"
0002570,Atsaites cepurīte 38mm 10 gab,"142,000","0,3244","0,63"
0002578,Kabelis H05W-FSW-LL 4*1.5,"168,000","0,5549","0,85"
0002585,Kabelis H05W-F BVV-LL 4*2.5,"182,000","0,9523","1,45"
0002587,Atsaites savilcējs 38mm 10 gab,"365,000","0,3927","0,95"
0002594,Atsaites savilcējs 48mm 10 gab,"117,000","0,6232","1,07"
0002600,Ritenis ķerrai 1033,"1096,000","1,0051","12,12"
0002622,Kabelis H05VV-F BVV-LL 5*2.5,"82,000","1,1127","1,68"
0002624,Mājsaimniecības kāpnes 3 pak.,"13,000","15,8123","24,47"
0002639,"Zobotā urbjpatrona 1/2""-20, 1.5-13mm","2,000","8,905","13,13"
0002648,Mājsaimniecības kāpnes 5 pak,"46,000","21,6311","30,04"
0002656,Liilia Color balināšanas pulveris 200 g,"49,000","0,5102","0,73"
0002662,Mājsaimniecības kāpnes 7 pak,"23,000","33,9761","44,74"
0002709,"Ritenis 16*4,0-8' dziļu protek.","25,000","9,3364","8,81"
0002713,Cilindrs ar aizgriezni 30/50 mm misiņš,"6,000","5,0367","7,61"
0002716,"Ritenis 13*5,00-6 pild.por. gum.","8,000","17,6088","19,24"
0002803,Remontix PRO All Season 750 ml,"158,000","2,4873","4,01"
000284,Palodze 406-550,"17,350","10,336","17,16"
0002847,Frieb rokas beržamā birste Spinto,"73,000","0,8529","1,42"
0002860,Mājsaimniecības kāpnes LFD 2 000286,"5,000","14,39","23,05"
0002877,Mājsaimniecības kāpnes LFD 3 000287,"6,000","19,5217","33,21"
0002887,Yplon autosal.plastm. tīr.līdz.,"8,000","1,8075","2,15"
0002904,Rokturu stienis 8*8*150 mm,"117,000","0,7115","1,12"
0002952,"Vārti 1,25 m *1 m","8,000","53,0275","85,73"
0002983,"Vārti 1,5m*1m","8,000","62,6625","99,47"
0002989,Stiprinājumu komplekts Onduline PVC loksnei,"9,000","4,2344","6,46"
0002998,Zupas šķīvis 100 gab/kompl.,"1,400","2,1071","3,22"
